Nível;Indicador;2010;Unidade
12.3.3.12;Islamismo;;pessoas
12.3.3.13;Judaísmo;123;pessoas
12.3.3.14;Não determinada e multiplo pertencimento;1808;pessoas
12.3.3.14.1;Declaração de múltipla religiosidade;;pessoas
12.3.3.14.2;Religiosidade não determinada ou mal definida;1808;pessoas
12.3.3.15;Novas religiões orientais;366;pessoas
12.3.3.15.1;Igreja messiânica mundial;274;pessoas
12.3.3.15.2;Outras;92;pessoas
12.3.3.16;Testemunhas de Jeová;3357;pessoas
12.3.3.17;Tradições esotéricas;143;pessoas
12.3.3.18;Tradições indígenas;15;pessoas
12.3.3.19;Umbanda;719;pessoas
12.3.3.20;Umbanda e Candomblé;838;pessoas
12.3.3.21;Outras declarações de religiosidades afrobrasileira;;pessoas
12.3.3.22;Outras religiões orientais;26;pessoas
12.3.3.23;Outras religiosidades;;pessoas
12.3.3.24;Outras religiosidades cristãs;2876;pessoas
12.3.3.25;Não sabe;365;pessoas



Fonte: IBGE, Censo Demográfico 2010
